tollgate_id,direction,time_window,volume
3,1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",102.269458893
3,1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",85.4989485776
3,1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",85.4989485776
3,1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",85.4989485776
3,1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",70.8999677406
3,1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",70.8999677406
3,1,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",70.8999677406
3,1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",104.633023949
3,1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",104.633023949
3,1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",104.633023949
3,1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",102.269458893
3,1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",102.269458893
3,1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",102.269458893
3,1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",85.4989485776
3,1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",85.4989485776
3,1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",85.4989485776
3,1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",70.8999677406
3,1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",70.8999677406
3,1,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",70.8999677406
3,1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",104.633023949
3,1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",104.633023949
3,1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",104.633023949
3,1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",102.269458893
3,1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",102.269458893
3,1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",102.269458893
3,1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",85.4989485776
3,1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",85.4989485776
3,1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",85.4989485776
3,1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",70.8999677406
3,1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",70.8999677406
3,1,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",70.8999677406
3,1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",104.633023949
3,1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",104.633023949
3,1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",104.633023949
3,1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",102.269458893
3,1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",102.269458893
3,1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",102.269458893
3,1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",85.4989485776
3,1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",85.4989485776
3,1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",85.4989485776
3,1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",70.8999677406
3,1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",70.8999677406
3,1,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",70.8999677406
3,1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",80.0996550229
3,1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",80.0996550229
3,1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",80.0996550229
3,1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",84.6985106046
3,1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",84.6985106046
3,1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",84.6985106046
3,1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",72.7262231804
3,1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",72.7262231804
3,1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",72.7262231804
3,1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",62.5150854514
3,1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",62.5150854514
3,1,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",62.5150854514
3,1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",80.0996550229
3,1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",80.0996550229
3,1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",80.0996550229
3,1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",84.6985106046
3,1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",84.6985106046
3,1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",84.6985106046
3,1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",72.7262231804
3,1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",72.7262231804
3,1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",72.7262231804
3,1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",62.5150854514
3,1,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",62.5150854514
3,1,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",62.5150854514
